,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
314,12/01/2018,4°C/5°C,3°C/5°C,4°C/6°C,4°C/6°C,4°C/5°C
315,13/01/2018,3°C/6°C,3°C/6°C,3°C/6°C,3°C/6°C,3°C/6°C
316,14/01/2018,2°C/7°C,2°C/7°C,3°C/8°C,3°C/8°C,2°C/7°C
317,15/01/2018,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C
318,16/01/2018,7°C/10°C,6°C/9°C,7°C/9°C,7°C/9°C,6°C/9°C
319,17/01/2018,5°C/7°C,4°C/7°C,4°C/7°C,4°C/7°C,5°C/7°C
320,18/01/2018,8°C/11°C,7°C/11°C,10°C/11°C,8°C/11°C,10°C/11°C
321,19/01/2018,5°C/7°C,4°C/7°C,5°C/7°C,4°C/7°C,5°C/7°C
322,20/01/2018,5°C/10°C,6°C/11°C,5°C/11°C,5°C/11°C,6°C/10°C
323,21/01/2018,5°C/10°C,6°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C
324,22/01/2018,8°C/12°C,8°C/13°C,10°C/13°C,8°C/13°C,10°C/13°C
325,23/01/2018,7°C/11°C,7°C/11°C,7°C/11°C,7°C/11°C,7°C/12°C
326,24/01/2018,11°C/12°C,11°C/11°C,10°C/11°C,10°C/11°C,11°C/12°C
327,25/01/2018,8°C/11°C,7°C/11°C,8°C/11°C,7°C/11°C,9°C/11°C
328,26/01/2018,5°C/9°C,4°C/9°C,5°C/8°C,5°C/8°C,4°C/9°C
329,27/01/2018,4°C/8°C,4°C/8°C,4°C/7°C,4°C/7°C,4°C/8°C
330,28/01/2018,7°C/10°C,8°C/10°C,6°C/9°C,6°C/9°C,9°C/10°C
331,29/01/2018,9°C/11°C,9°C/11°C,9°C/11°C,9°C/11°C,9°C/10°C
332,30/01/2018,8°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C
333,31/01/2018,8°C/9°C,7°C/9°C,8°C/9°C,8°C/9°C,7°C/9°C
334,01/07/2018,26°C/31°C,25°C/32°C,25°C/31°C,25°C/31°C,26°C/32°C
335,02/07/2018,24°C/29°C,22°C/29°C,24°C/29°C,24°C/29°C,25°C/30°C
336,03/07/2018,25°C/29°C,21°C/28°C,25°C/28°C,25°C/28°C,25°C/29°C
337,04/07/2018,25°C/27°C,21°C/27°C,24°C/27°C,24°C/27°C,25°C/27°C
338,05/07/2018,21°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,22°C/25°C
339,06/07/2018,23°C/28°C,22°C/28°C,22°C/27°C,22°C/27°C,23°C/28°C
340,07/07/2018,25°C/29°C,23°C/29°C,25°C/28°C,25°C/28°C,25°C/29°C
341,08/07/2018,25°C/29°C,22°C/29°C,25°C/28°C,25°C/28°C,25°C/29°C
342,09/07/2018,22°C/26°C,21°C/26°C,21°C/25°C,21°C/25°C,22°C/26°C
343,10/07/2018,19°C/20°C,16°C/21°C,19°C/20°C,19°C/20°C,19°C/20°C
344,11/07/2018,17°C/20°C,17°C/20°C,17°C/21°C,17°C/21°C,17°C/20°C
345,12/07/2018,21°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,20°C/25°C
346,13/07/2018,22°C/26°C,20°C/26°C,22°C/26°C,22°C/26°C,20°C/26°C
347,14/07/2018,24°C/28°C,22°C/28°C,24°C/28°C,24°C/28°C,23°C/28°C
348,15/07/2018,25°C/29°C,22°C/29°C,25°C/29°C,25°C/29°C,26°C/29°C
349,16/07/2018,25°C/28°C,21°C/27°C,25°C/28°C,25°C/28°C,24°C/28°C
350,17/07/2018,20°C/25°C,19°C/24°C,22°C/25°C,22°C/25°C,18°C/23°C
351,18/07/2018,20°C/26°C,20°C/26°C,21°C/26°C,21°C/26°C,19°C/26°C
352,19/07/2018,25°C/29°C,22°C/28°C,25°C/28°C,25°C/28°C,24°C/28°C
353,20/07/2018,21°C/25°C,18°C/25°C,23°C/25°C,21°C/25°C,23°C/26°C
354,21/07/2018,21°C/25°C,19°C/25°C,21°C/25°C,21°C/25°C,21°C/25°C
355,22/07/2018,23°C/27°C,21°C/27°C,22°C/26°C,22°C/26°C,23°C/28°C
356,23/07/2018,25°C/31°C,23°C/30°C,25°C/29°C,25°C/29°C,25°C/30°C
357,24/07/2018,27°C/30°C,24°C/29°C,27°C/30°C,27°C/30°C,26°C/29°C
358,25/07/2018,27°C/32°C,25°C/31°C,27°C/32°C,27°C/32°C,26°C/31°C
359,26/07/2018,30°C/35°C,28°C/34°C,30°C/34°C,30°C/34°C,30°C/35°C
360,27/07/2018,29°C/35°C,22°C/34°C,30°C/34°C,29°C/34°C,29°C/34°C
361,28/07/2018,22°C/25°C,19°C/24°C,22°C/25°C,22°C/25°C,20°C/24°C
362,29/07/2018,21°C/27°C,20°C/25°C,21°C/28°C,21°C/28°C,20°C/25°C
363,30/07/2018,21°C/27°C,20°C/27°C,22°C/27°C,22°C/27°C,20°C/27°C
364,31/07/2018,22°C/28°C,21°C/27°C,21°C/28°C,21°C/28°C,23°C/27°C
