,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
142,12/04/2019,7°C/11°C,7°C/11°C,6°C/11°C,6°C/10°C,5°C/9°C
143,13/04/2019,5°C/9°C,5°C/9°C,5°C/10°C,6°C/11°C,5°C/10°C
144,14/04/2019,6°C/10°C,6°C/10°C,5°C/10°C,8°C/15°C,7°C/14°C
145,15/04/2019,7°C/14°C,7°C/14°C,8°C/15°C,10°C/14°C,10°C/13°C
146,16/04/2019,10°C/13°C,10°C/13°C,10°C/13°C,12°C/19°C,12°C/18°C
147,17/04/2019,12°C/18°C,12°C/18°C,12°C/19°C,15°C/22°C,15°C/21°C
148,18/04/2019,15°C/21°C,15°C/21°C,15°C/22°C,17°C/24°C,17°C/24°C
149,19/04/2019,17°C/23°C,17°C/23°C,17°C/24°C,19°C/25°C,18°C/24°C
150,20/04/2019,18°C/23°C,18°C/23°C,18°C/24°C,20°C/25°C,19°C/24°C
151,21/04/2019,18°C/23°C,18°C/23°C,19°C/24°C,20°C/25°C,19°C/24°C
152,22/04/2019,19°C/24°C,19°C/24°C,19°C/25°C,18°C/22°C,18°C/22°C
153,23/04/2019,17°C/21°C,17°C/21°C,18°C/22°C,15°C/17°C,13°C/16°C
154,24/04/2019,13°C/15°C,13°C/15°C,14°C/17°C,12°C/14°C,11°C/13°C
155,25/04/2019,11°C/13°C,11°C/13°C,12°C/14°C,13°C/18°C,11°C/16°C
156,26/04/2019,11°C/17°C,11°C/17°C,12°C/17°C,11°C/13°C,8°C/11°C
157,27/04/2019,11°C/12°C,10°C/12°C,11°C/12°C,10°C/12°C,4°C/10°C
158,28/04/2019,9°C/11°C,9°C/11°C,9°C/11°C,12°C/18°C,11°C/17°C
159,29/04/2019,11°C/16°C,11°C/16°C,11°C/17°C,13°C/18°C,12°C/17°C
160,30/04/2019,12°C/17°C,12°C/17°C,12°C/17°C,3°C/6°C,4°C/7°C
161,12/01/2019,6°C/7°C,2°C/7°C,5°C/7°C,5°C/7°C,5°C/8°C
162,13/01/2019,10°C/10°C,7°C/10°C,9°C/11°C,9°C/11°C,10°C/10°C
163,14/01/2019,8°C/9°C,7°C/9°C,7°C/9°C,7°C/9°C,7°C/8°C
164,15/01/2019,7°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C
165,16/01/2019,4°C/7°C,2°C/6°C,2°C/6°C,2°C/6°C,4°C/7°C
166,17/01/2019,5°C/7°C,3°C/6°C,5°C/7°C,5°C/7°C,5°C/7°C
167,18/01/2019,2°C/7°C,1°C/6°C,2°C/5°C,2°C/5°C,2°C/5°C
168,19/01/2019,0°C/3°C,-4°C/2°C,0°C/3°C,0°C/3°C,1°C/2°C
169,20/01/2019,2°C/4°C,2°C/3°C,2°C/4°C,2°C/4°C,2°C/3°C
170,21/01/2019,1°C/5°C,0°C/4°C,0°C/6°C,0°C/6°C,0°C/4°C
171,22/01/2019,-1°C/2°C,0°C/2°C,-1°C/1°C,-1°C/1°C,1°C/3°C
172,23/01/2019,-1°C/1°C,-1°C/1°C,0°C/1°C,0°C/1°C,1°C/2°C
